NAME                         CPUS  MEMORY_GB  ZONE
c4d-standard-64              64    248.00     us-east1-b
c4d-standard-64-lssd         64    248.00     us-east1-b
c4d-standard-8               8     31.00      us-east1-b
c4d-standard-8-lssd          8     31.00      us-east1-b
c4d-standard-96              96    372.00     us-east1-b
c4d-standard-96-lssd         96    372.00     us-east1-b
ct5lp-hightpu-1t             24    48.00      us-east1-b
ct5lp-hightpu-4t             112   192.00     us-east1-b
ct5lp-hightpu-8t             224   384.00     us-east1-b
e2-highcpu-16                16    16.00      us-east1-b
e2-highcpu-2                 2     2.00       us-east1-b
e2-highcpu-32                32    32.00      us-east1-b
e2-highcpu-4                 4     4.00       us-east1-b
e2-highcpu-8                 8     8.00       us-east1-b
e2-highmem-16                16    128.00     us-east1-b
e2-highmem-2                 2     16.00      us-east1-b
e2-highmem-4                 4     32.00      us-east1-b
e2-highmem-8                 8     64.00      us-east1-b
e2-medium                    2     4.00       us-east1-b
e2-micro                     2     1.00       us-east1-b
e2-small                     2     2.00       us-east1-b
e2-standard-16               16    64.00      us-east1-b
e2-standard-2                2     8.00       us-east1-b
e2-standard-32               32    128.00     us-east1-b
e2-standard-4                4     16.00      us-east1-b
e2-standard-8                8     32.00      us-east1-b
f1-micro                     1     0.60       us-east1-b
g1-small                     1     1.70       us-east1-b
g2-standard-12               12    48.00      us-east1-b
g2-standard-16               16    64.00      us-east1-b
g2-standard-24               24    96.00      us-east1-b
g2-standard-32               32    128.00     us-east1-b
g2-standard-4                4     16.00      us-east1-b
g2-standard-48               48    192.00     us-east1-b
g2-standard-8                8     32.00      us-east1-b
g2-standard-96               96    384.00     us-east1-b
m1-megamem-96                96    1433.60    us-east1-b
m1-ultramem-160              160   3844.00    us-east1-b
m1-ultramem-40               40    961.00     us-east1-b
m1-ultramem-80               80    1922.00    us-east1-b
m3-megamem-128               128   1952.00    us-east1-b
m3-megamem-64                64    976.00     us-east1-b
m3-ultramem-128              128   3904.00    us-east1-b
m3-ultramem-32               32    976.00     us-east1-b
m3-ultramem-64               64    1952.00    us-east1-b
n1-highcpu-16                16    14.40      us-east1-b
n1-highcpu-2                 2     1.80       us-east1-b
n1-highcpu-32                32    28.80      us-east1-b
n1-highcpu-4                 4     3.60       us-east1-b
n1-highcpu-64                64    57.60      us-east1-b
n1-highcpu-8                 8     7.20       us-east1-b
n1-highcpu-96                96    86.40      us-east1-b
n1-highmem-16                16    104.00     us-east1-b
n1-highmem-2                 2     13.00      us-east1-b
n1-highmem-32                32    208.00     us-east1-b
n1-highmem-4                 4     26.00      us-east1-b
n1-highmem-64                64    416.00     us-east1-b
n1-highmem-8                 8     52.00      us-east1-b
n1-highmem-96                96    624.00     us-east1-b
n1-megamem-96                96    1433.60    us-east1-b
n1-standard-1                1     3.75       us-east1-b
n1-standard-16               16    60.00      us-east1-b
n1-standard-2                2     7.50       us-east1-b
n1-standard-32               32    120.00     us-east1-b
n1-standard-4                4     15.00      us-east1-b
n1-standard-64               64    240.00     us-east1-b
n1-standard-8                8     30.00      us-east1-b
n1-standard-96               96    360.00     us-east1-b
n1-ultramem-160              160   3844.00    us-east1-b
n1-ultramem-40               40    961.00     us-east1-b
n1-ultramem-80               80    1922.00    us-east1-b
n2-highcpu-16                16    16.00      us-east1-b
n2-highcpu-2                 2     2.00       us-east1-b
n2-highcpu-32                32    32.00      us-east1-b
n2-highcpu-4                 4     4.00       us-east1-b
n2-highcpu-48                48    48.00      us-east1-b
n2-highcpu-64                64    64.00      us-east1-b
n2-highcpu-8                 8     8.00       us-east1-b
n2-highcpu-80                80    80.00      us-east1-b
n2-highcpu-96                96    96.00      us-east1-b
n2-highmem-128               128   864.00     us-east1-b
n2-highmem-16                16    128.00     us-east1-b
n2-highmem-2                 2     16.00      us-east1-b
n2-highmem-32                32    256.00     us-east1-b
n2-highmem-4                 4     32.00      us-east1-b
n2-highmem-48                48    384.00     us-east1-b
n2-highmem-64                64    512.00     us-east1-b
